metodo,convergio,iteraciones,tiempo_s,error_relativo
directo,True,1,0.0026221000007353723,0.0
jacobi,False,3000,0.05933770000046934,9.26650771145427e+131
gauss_seidel,True,435,0.2138042000005953,1.8521703551870635e-08
cg,False,3000,0.11212279999745078,433083976.2341683
